Entry	Entry name	Protein names	Gene names
Q92562	FIG4_HUMAN	Polyphosphoinositide phosphatase (EC 3.1.3.-) (EC 3.1.3.36) (EC 3.1.3.86) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase) (SAC domain-containing protein 3) (Serine-protein phosphatase FIG4) (EC 3.1.3.16)	FIG4 KIAA0274 SAC3
P46095	GPR6_HUMAN	G-protein coupled receptor 6 (Sphingosine 1-phosphate receptor GPR6)	GPR6
Q86VW1	S22AG_HUMAN	Solute carrier family 22 member 16 (Carnitine transporter 2) (CT2) (Fly-like putative transporter 2) (FLIPT2) (Flipt 2) (Organic cation transporter OKB1) (Organic cation/carnitine transporter 6)	SLC22A16 OCT6
Q9BWU1	CDK19_HUMAN	Cyclin-dependent kinase 19 (EC 2.7.11.22) (CDC2-related protein kinase 6) (Cell division cycle 2-like protein kinase 6) (Cell division protein kinase 19) (Cyclin-dependent kinase 11) (Death-preventing kinase)	CDK19 CDC2L6 CDK11 KIAA1028
Q8TF71	MOT10_HUMAN	Monocarboxylate transporter 10 (MCT 10) (Aromatic amino acid transporter 1) (Solute carrier family 16 member 10) (T-type amino acid transporter 1)	SLC16A10 MCT10 TAT1
O60673	REV3L_HUMAN	DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3-like) (REV3-like) (hREV3)	REV3L POLZ REV3
P06241	FYN_HUMAN	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	FYN
Q9UJT0	TBE_HUMAN	Tubulin epsilon chain (Epsilon-tubulin)	TUBE1 TUBE
Q92769	HDAC2_HUMAN	Histone deacetylase 2 (HD2) (EC 3.5.1.98) (Protein deacylase HDAC2) (EC 3.5.1.-)	HDAC2
P42685	FRK_HUMAN	Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5)	FRK PTK5 RAK
Q5T6X5	GPC6A_HUMAN	G-protein coupled receptor family C group 6 member A (hGPRC6A) (G-protein coupled receptor GPCR33) (hGPCR33)	GPRC6A
P08922	ROS1_HUMAN	Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)	ROS1 MCF3 ROS
P17302	CXA1_HUMAN	Gap junction alpha-1 protein (Connexin-43) (Cx43) (Gap junction 43 kDa heart protein)	GJA1 GJAL
O15540	FABP7_HUMAN	Fatty acid-binding protein, brain (Brain lipid-binding protein) (BLBP) (Brain-type fatty acid-binding protein) (B-FABP) (Fatty acid-binding protein 7) (Mammary-derived growth inhibitor related)	FABP7 BLBP FABPB MRG
O14638	ENPP3_HUMAN	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (NPP3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]	ENPP3 PDNP3
P22413	ENPP1_HUMAN	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Membrane component chromosome 6 surface marker 1) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Cleaved into: Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form] [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]	ENPP1 M6S1 NPPS PC1 PDNP1
Q96RI9	TAAR9_HUMAN	Trace amine-associated receptor 9 (TaR-9) (Trace amine receptor 9) (Trace amine receptor 3) (TaR-3)	TAAR9 TA3 TAR3 TRAR3
Q969N4	TAAR8_HUMAN	Trace amine-associated receptor 8 (TaR-8) (Trace amine receptor 8) (G-protein coupled receptor 102) (Trace amine receptor 5) (TaR-5)	TAAR8 GPR102 TA5 TAR5 TRAR5
O14804	TAAR5_HUMAN	Trace amine-associated receptor 5 (TaR-5) (Trace amine receptor 5) (hTaar5) (Putative neurotransmitter receptor)	TAAR5 PNR
Q9P1P5	TAAR2_HUMAN	Trace amine-associated receptor 2 (TaR-2) (Trace amine receptor 2) (G-protein coupled receptor 58)	TAAR2 GPR58
Q96RJ0	TAAR1_HUMAN	Trace amine-associated receptor 1 (TaR-1) (Trace amine receptor 1)	TAAR1 TA1 TAR1 TRAR1
Q6NT16	S18B1_HUMAN	MFS-type transporter SLC18B1 (Solute carrier family 18 member B1)	SLC18B1 C6orf192
Q8TD20	GTR12_HUMAN	Solute carrier family 2, facilitated glucose transporter member 12 (Glucose transporter type 12) (GLUT-12)	SLC2A12 GLUT12
Q9H2A2	AL8A1_HUMAN	2-aminomuconic semialdehyde dehydrogenase (EC 1.2.1.32) (Aldehyde dehydrogenase 12) (Aldehyde dehydrogenase family 8 member A1)	ALDH8A1 ALDH12
Q8N157	AHI1_HUMAN	Jouberin (Abelson helper integration site 1 protein homolog) (AHI-1)	AHI1
Q9NP56	PDE7B_HUMAN	cAMP-specific 3',5'-cyclic phosphodiesterase 7B (EC 3.1.4.53)	PDE7B
Q99683	M3K5_HUMAN	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5)	MAP3K5 ASK1 MAPKKK5 MEKK5
Q7RTU3	OLIG3_HUMAN	Oligodendrocyte transcription factor 3 (Oligo3) (Class B basic helix-loop-helix protein 7) (bHLHb7) (Class E basic helix-loop-helix protein 20) (bHLHe20)	OLIG3 BHLHB7 BHLHE20
P28336	NMBR_HUMAN	Neuromedin-B receptor (NMB-R) (Epididymis tissue protein Li 185a) (Neuromedin-B-preferring bombesin receptor)	NMBR
A6NN92	CXE1_HUMAN	Putative gap junction epsilon-1 protein (Connexin-23) (Cx23)	GJE1
Q86SQ4	AGRG6_HUMAN	Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126) (Vascular inducible G protein-coupled receptor) [Cleaved into: ADGRG6 N-terminal fragment (ADGRG6-NTF); ADGRG6 C-terminal fragment (ADGRG6-CTF)]	ADGRG6 DREG GPR126 VIGR
P46939	UTRN_HUMAN	Utrophin (Dystrophin-related protein 1) (DRP-1)	UTRN DMDL DRP1
Q149N8	SHPRH_HUMAN	E3 ubiquitin-protein ligase SHPRH (EC 2.3.2.27) (EC 3.6.4.-) (RING-type E3 ubiquitin transferase SHPRH) (SNF2, histone-linker, PHD and RING finger domain-containing helicase)	SHPRH KIAA2023
Q13255	GRM1_HUMAN	Metabotropic glutamate receptor 1 (mGluR1)	GRM1 GPRC1A MGLUR1
Q13637	RAB32_HUMAN	Ras-related protein Rab-32	RAB32
P03372	ESR1_HUMAN	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1
Q8NF91	SYNE1_HUMAN	Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1)	SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1
Q9UGC6	RGS17_HUMAN	Regulator of G-protein signaling 17 (RGS17)	RGS17 RGSZ2
P35372	OPRM_HUMAN	Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu opiate receptor) (Mu opioid receptor) (MOP) (hMOP)	OPRM1 MOR1
Q9HBY0	NOX3_HUMAN	NADPH oxidase 3 (EC 1.6.3.-) (Mitogenic oxidase 2) (MOX-2) (gp91phox homolog 3) (GP91-3)	NOX3 MOX2
O15056	SYNJ2_HUMAN	Synaptojanin-2 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 2)	SYNJ2 KIAA0348
O75908	SOAT2_HUMAN	Sterol O-acyltransferase 2 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 2) (ACAT-2) (Cholesterol acyltransferase 2)	SOAT2 ACACT2 ACAT2
Q9BWD1	THIC_HUMAN	Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Acetyl-CoA transferase-like protein) (Cytosolic acetoacetyl-CoA thiolase)	ACAT2 ACTL
P04201	MAS_HUMAN	Proto-oncogene Mas	MAS1 MAS
O15245	S22A1_HUMAN	Solute carrier family 22 member 1 (Organic cation transporter 1) (hOCT1)	SLC22A1 OCT1
O15244	S22A2_HUMAN	Solute carrier family 22 member 2 (Organic cation transporter 2) (hOCT2)	SLC22A2 OCT2
O75751	S22A3_HUMAN	Solute carrier family 22 member 3 (Extraneuronal monoamine transporter) (EMT) (Organic cation transporter 3)	SLC22A3 EMTH OCT3
Q9Y6R4	M3K4_HUMAN	Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4)	MAP3K4 KIAA0213 MAPKKK4 MEKK4 MTK1
Q9Y233	PDE10_HUMAN	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A (EC 3.1.4.17)	PDE10A
Q15349	KS6A2_HUMAN	Ribosomal protein S6 kinase alpha-2 (S6K-alpha-2) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 2) (p90-RSK 2) (p90RSK2) (MAP kinase-activated protein kinase 1c) (MAPK-activated protein kinase 1c) (MAPKAP kinase 1c) (MAPKAPK-1c) (Ribosomal S6 kinase 3) (RSK-3) (pp90RSK3)	RPS6KA2 MAPKAPK1C RSK3
O00421	CCRL2_HUMAN	C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor)	CCRL2 CCR11 CCR6 CKRX CRAM HCR
P51684	CCR6_HUMAN	C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (GPR-CY4) (GPRCY4) (LARC receptor) (CD antigen CD196)	CCR6 CKRL3 CMKBR6 GPR29 STRL22
O00270	GPR31_HUMAN	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor (12-(S)-HETE receptor) (12-HETER) (G-protein coupled receptor 31) (GPR31/12-HETER)	GPR31
Q9UIL4	KIF25_HUMAN	Kinesin-like protein KIF25 (Kinesin-like protein 3)	KIF25 KNSL3
A2RRH5	WDR27_HUMAN	WD repeat-containing protein 27	WDR27
Q8WUB8	PHF10_HUMAN	PHD finger protein 10 (BRG1-associated factor 45a) (BAF45a) (XAP135)	PHF10 BAF45A
O75689	ADAP1_HUMAN	Arf-GAP with dual PH domain-containing protein 1 (Centaurin-alpha-1) (Cnt-a1) (Putative MAPK-activating protein PM25)	ADAP1 CENTA1
Q8TAV3	CP2W1_HUMAN	Cytochrome P450 2W1 (EC 1.14.14.-) (CYPIIW1)	CYP2W1
P36639	8ODP_HUMAN	Oxidized purine nucleoside triphosphate hydrolase (EC 3.6.1.56) (2-hydroxy-dATP diphosphatase) (7,8-dihydro-8-oxoguanine triphosphatase) (8-oxo-dGTPase) (Methylated purine nucleoside triphosphate hydrolase) (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 1) (Nudix motif 1)	NUDT1 MTH1
Q7Z5N4	SDK1_HUMAN	Protein sidekick-1	SDK1
Q8IY49	PAQRA_HUMAN	Monocyte to macrophage differentiation factor 2 (Progestin and adipoQ receptor family member 10) (Progestin and adipoQ receptor family member X)	MMD2 PAQR10
P60709	ACTB_HUMAN	Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	ACTB
Q9BQI3	E2AK1_HUMAN	Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1) (Heme-controlled repressor) (HCR) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Heme-regulated inhibitor) (hHRI) (Hemin-sensitive initiation factor 2-alpha kinase)	EIF2AK1 HRI KIAA1369 PRO1362
Q9H9J4	UBP42_HUMAN	Ubiquitin carboxyl-terminal hydrolase 42 (EC 3.4.19.12) (Deubiquitinating enzyme 42) (Ubiquitin thioesterase 42) (Ubiquitin-specific-processing protease 42)	USP42
O43739	CYH3_HUMAN	Cytohesin-3 (ARF nucleotide-binding site opener 3) (Protein ARNO3) (General receptor of phosphoinositides 1) (Grp1) (PH, SEC7 and coiled-coil domain-containing protein 3)	CYTH3 ARNO3 GRP1 PSCD3
P63000	RAC1_HUMAN	Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1)	RAC1 TC25 MIG5
O94880	PHF14_HUMAN	PHD finger protein 14	PHF14 KIAA0783
P40617	ARL4A_HUMAN	ADP-ribosylation factor-like protein 4A	ARL4A ARL4
P50549	ETV1_HUMAN	ETS translocation variant 1 (Ets-related protein 81)	ETV1 ER81
Q9Y6T7	DGKB_HUMAN	Diacylglycerol kinase beta (DAG kinase beta) (EC 2.7.1.107) (90 kDa diacylglycerol kinase) (Diglyceride kinase beta) (DGK-beta)	DGKB DAGK2 KIAA0718
P35869	AHR_HUMAN	Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76)	AHR BHLHE76
Q9UKV0	HDAC9_HUMAN	Histone deacetylase 9 (HD9) (EC 3.5.1.98) (Histone deacetylase 7B) (HD7) (HD7b) (Histone deacetylase-related protein) (MEF2-interacting transcription repressor MITR)	HDAC9 HDAC7 HDAC7B HDRP KIAA0744 MITR
P26012	ITB8_HUMAN	Integrin beta-8	ITGB8
Q2M3G0	ABCB5_HUMAN	ATP-binding cassette sub-family B member 5 (ABCB5 P-gp) (P-glycoprotein ABCB5) (EC 7.6.2.2)	ABCB5
Q92565	RPGF5_HUMAN	Rap guanine nucleotide exchange factor 5 (Guanine nucleotide exchange factor for Rap1) (M-Ras-regulated Rap GEF) (MR-GEF) (Related to Epac) (Repac)	RAPGEF5 GFR KIAA0277 MRGEF
Q8IXQ5	KLHL7_HUMAN	Kelch-like protein 7	KLHL7
Q9Y4A8	NF2L3_HUMAN	Nuclear factor erythroid 2-related factor 3 (NF-E2-related factor 3) (NFE2-related factor 3) (Nuclear factor, erythroid derived 2, like 3)	NFE2L3 NRF3
Q9Y239	NOD1_HUMAN	Nucleotide-binding oligomerization domain-containing protein 1 (Caspase recruitment domain-containing protein 4)	NOD1 CARD4
Q13324	CRFR2_HUMAN	Corticotropin-releasing factor receptor 2 (CRF-R-2) (CRF-R2) (CRFR-2) (Corticotropin-releasing hormone receptor 2) (CRH-R-2) (CRH-R2)	CRHR2 CRF2R CRH2R
P29972	AQP1_HUMAN	Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Urine water channel) (Water channel protein for red blood cells and kidney proximal tubule)	AQP1 CHIP28
Q02643	GHRHR_HUMAN	Growth hormone-releasing hormone receptor (GHRH receptor) (Growth hormone-releasing factor receptor) (GRF receptor) (GRFR)	GHRHR
P41586	PACR_HUMAN	Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1)	ADCYAP1R1
Q96NK8	NDF6_HUMAN	Neurogenic differentiation factor 6 (NeuroD6) (Class A basic helix-loop-helix protein 2) (bHLHa2) (Protein atonal homolog 2)	NEUROD6 ATOH2 BHLHA2 My051
Q14123	PDE1C_HUMAN	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C (Cam-PDE 1C) (3',5'-cyclic-AMP phosphodiesterase) (EC 3.1.4.-) (3',5'-cyclic-GMP phosphodiesterase) (EC 3.1.4.35) (Hcam3)	PDE1C
Q8IY47	KBTB2_HUMAN	Kelch repeat and BTB domain-containing protein 2 (BTB and kelch domain-containing protein 1)	KBTBD2 BKLHD1 KIAA1489 CGI-73
Q6FHJ7	SFRP4_HUMAN	Secreted frizzled-related protein 4 (sFRP-4) (Frizzled protein, human endometrium) (FrpHE)	SFRP4 FRPHE
P11233	RALA_HUMAN	Ras-related protein Ral-A (EC 3.6.5.2)	RALA RAL
Q14004	CDK13_HUMAN	Cyclin-dependent kinase 13 (EC 2.7.11.22) (EC 2.7.11.23) (CDC2-related protein kinase 5) (Cell division cycle 2-like protein kinase 5) (Cell division protein kinase 13) (hCDK13) (Cholinesterase-related cell division controller)	CDK13 CDC2L CDC2L5 CHED KIAA1791
P08476	INHBA_HUMAN	Inhibin beta A chain (Activin beta-A chain) (Erythroid differentiation protein) (EDF)	INHBA
P10071	GLI3_HUMAN	Transcriptional activator GLI3 (GLI3 form of 190 kDa) (GLI3-190) (GLI3 full-length protein) (GLI3FL) [Cleaved into: Transcriptional repressor GLI3R (GLI3 C-terminally truncated form) (GLI3 form of 83 kDa) (GLI3-83)]	GLI3
Q76N89	HECW1_HUMAN	E3 ubiquitin-protein ligase HECW1 (EC 2.3.2.26) (HECT, C2 and WW domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECW1) (NEDD4-like E3 ubiquitin-protein ligase 1) (hNEDL1)	HECW1 KIAA0322 NEDL1
P35557	HXK4_HUMAN	Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D)	GCK
Q12851	M4K2_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 2 (EC 2.7.11.1) (B lymphocyte serine/threonine-protein kinase) (Germinal center kinase) (GC kinase) (MAPK/ERK kinase kinase kinase 2) (MEK kinase kinase 2) (MEKKK 2) (Rab8-interacting protein)	MAP4K2 GCK RAB8IP
Q13554	KCC2B_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17)	CAMK2B CAM2 CAMK2 CAMKB
Q71UI9	H2AV_HUMAN	Histone H2A.V (H2A.F/Z) (H2A.Z variant histone 2)	H2AZ2 H2AFV H2AV
Q08828	ADCY1_HUMAN	Adenylate cyclase type 1 (EC 4.6.1.1) (ATP pyrophosphate-lyase 1) (Adenylate cyclase type I) (Adenylyl cyclase 1) (Ca(2+)/calmodulin-activated adenylyl cyclase)	ADCY1
Q8TDX9	PK1L1_HUMAN	Polycystic kidney disease protein 1-like 1 (PC1-like 1 protein) (Polycystin-1L1)	PKD1L1 UNQ5785/PRO19563
Q86UQ4	ABCAD_HUMAN	ATP-binding cassette sub-family A member 13 (EC 7.6.2.-)	ABCA13
P00533	EGFR_HUMAN	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1
Q16816	PHKG1_HUMAN	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (PHK-gamma-M) (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1) (EC 2.7.11.1) (EC 2.7.11.26)	PHKG1 PHKG
Q9BXU9	CABP8_HUMAN	Calcium-binding protein 8 (CaBP8) (Calneuron I) (Calneuron-1)	CALN1 CABP8
Q9UIG0	BAZ1B_HUMAN	Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor) (Williams-Beuren syndrome chromosomal region 10 protein) (Williams-Beuren syndrome chromosomal region 9 protein) (hWALp2)	BAZ1B WBSC10 WBSCR10 WBSCR9 WSTF
Q9Y4P3	TBL2_HUMAN	Transducin beta-like protein 2 (WS beta-transducin repeats protein) (WS-betaTRP) (Williams-Beuren syndrome chromosomal region 13 protein)	TBL2 WBSCR13 UNQ563/PRO1125
Q8NFV4	ABHDB_HUMAN	Protein ABHD11 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 11) (Abhydrolase domain-containing protein 11) (Williams-Beuren syndrome chromosomal region 21 protein)	ABHD11 WBSCR21 PP1226
P53667	LIMK1_HUMAN	LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)	LIMK1 LIMK
Q9Y258	CCL26_HUMAN	C-C motif chemokine 26 (CC chemokine IMAC) (Eotaxin-3) (Macrophage inflammatory protein 4-alpha) (MIP-4-alpha) (Small-inducible cytokine A26) (Thymic stroma chemokine-1) (TSC-1)	CCL26 SCYA26 UNQ216/PRO242
O00175	CCL24_HUMAN	C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2) (Eotaxin-2) (Myeloid progenitor inhibitory factor 2) (MPIF-2) (Small-inducible cytokine A24)	CCL24 MPIF2 SCYA24
P16435	NCPR_HUMAN	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	POR CYPOR
P40926	MDHM_HUMAN	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	MDH2
Q8WTU2	SRB4D_HUMAN	Scavenger receptor cysteine-rich domain-containing group B protein (Four scavenger receptor cysteine-rich domains-containing protein) (S4D-SRCRB)	SSC4D SRCRB4D
Q14832	GRM3_HUMAN	Metabotropic glutamate receptor 3 (mGluR3)	GRM3 GPRC1C MGLUR3
Q9UKG9	OCTC_HUMAN	Peroxisomal carnitine O-octanoyltransferase (COT) (EC 2.3.1.137)	CROT COT
P21439	MDR3_HUMAN	Phosphatidylcholine translocator ABCB4 (EC 7.6.2.1) (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 3) (P-glycoprotein 3)	ABCB4 MDR3 PGY3
P08183	MDR1_HUMAN	ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)	ABCB1 MDR1 PGY1
Q9P0K1	ADA22_HUMAN	Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)	ADAM22 MDC2
O94921	CDK14_HUMAN	Cyclin-dependent kinase 14 (EC 2.7.11.22) (Cell division protein kinase 14) (Serine/threonine-protein kinase PFTAIRE-1) (hPFTAIRE1)	CDK14 KIAA0834 PFTK1
Q9UP38	FZD1_HUMAN	Frizzled-1 (Fz-1) (hFz1) (FzE1)	FZD1
O43933	PEX1_HUMAN	Peroxisome biogenesis factor 1 (Peroxin-1) (Peroxisome biogenesis disorder protein 1)	PEX1
Q00534	CDK6_HUMAN	Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	CDK6 CDKN6
P30988	CALCR_HUMAN	Calcitonin receptor (CT-R)	CALCR
Q16654	PDK4_HUMAN	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 4)	PDK4 PDHK4
Q8IWU2	LMTK2_HUMAN	Serine/threonine-protein kinase LMTK2 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase 2) (Brain-enriched kinase) (hBREK) (CDK5/p35-regulated kinase) (CPRK) (Kinase/phosphatase/inhibitor 2) (Lemur tyrosine kinase 2) (Serine/threonine-protein kinase KPI-2)	LMTK2 AATYK2 BREK KIAA1079 KPI2 LMR2
Q7RTS1	BHA15_HUMAN	Class A basic helix-loop-helix protein 15 (bHLHa15) (Class B basic helix-loop-helix protein 8) (bHLHb8) (Muscle, intestine and stomach expression 1) (MIST-1)	BHLHA15 BHLHB8 MIST1
Q9Y4A5	TRRAP_HUMAN	Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog)	TRRAP PAF400
Q9HCE7	SMUF1_HUMAN	E3 ubiquitin-protein ligase SMURF1 (hSMURF1) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF1) (SMAD ubiquitination regulatory factor 1) (SMAD-specific E3 ubiquitin-protein ligase 1)	SMURF1 KIAA1625
Q8NFK1	CXG3_HUMAN	Gap junction gamma-3 protein (Connexin-30.2) (Cx30.2) (Connexin-31.3) (Cx31.3) (Gap junction epsilon-1 protein)	GJC3 GJE1
O95081	AGFG2_HUMAN	Arf-GAP domain and FG repeat-containing protein 2 (HIV-1 Rev-binding protein-like protein) (Rev/Rex activation domain-binding protein related) (RAB-R)	AGFG2 HRBL RABR
Q15113	PCOC1_HUMAN	Procollagen C-endopeptidase enhancer 1 (Procollagen COOH-terminal proteinase enhancer 1) (PCPE-1) (Procollagen C-proteinase enhancer 1) (Type 1 procollagen C-proteinase enhancer protein) (Type I procollagen COOH-terminal proteinase enhancer)	PCOLCE PCPE1
O94805	ACL6B_HUMAN	Actin-like protein 6B (53 kDa BRG1-associated factor B) (Actin-related protein Baf53b) (ArpNalpha) (BRG1-associated factor 53B) (BAF53B)	ACTL6B ACTL6 BAF53B
P54760	EPHB4_HUMAN	Ephrin type-B receptor 4 (EC 2.7.10.1) (Hepatoma transmembrane kinase) (Tyrosine-protein kinase TYRO11)	EPHB4 HTK MYK1 TYRO11
P22303	ACES_HUMAN	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ACHE
P05121	PAI1_HUMAN	Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1)	SERPINE1 PAI1 PLANH1
Q86VF5	MOGT3_HUMAN	2-acylglycerol O-acyltransferase 3 (EC 2.3.1.20) (EC 2.3.1.22) (Acyl-CoA:monoacylglycerol acyltransferase 3) (MGAT3) (Diacylglycerol O-acyltransferase candidate 7) (hDC7) (Diacylglycerol acyltransferase 2-like protein 7) (Monoacylglycerol O-acyltransferase 3)	MOGAT3 DC7 DGAT2L7 UNQ9383/PRO34208
Q96SN7	ORAI2_HUMAN	Protein orai-2 (CAP-binding protein complex-interacting protein 2) (Transmembrane protein 142B)	ORAI2 C7orf19 CBCIP2 TMEM142B PP1729
Q8N6Y2	LRC17_HUMAN	Leucine-rich repeat-containing protein 17 (p37NB)	LRRC17 P37NB UNQ3076/PRO9909
P78362	SRPK2_HUMAN	SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal]	SRPK2
P43490	NAMPT_HUMAN	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin)	NAMPT PBEF PBEF1
P48736	PK3CG_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)	PIK3CG
Q99680	GPR22_HUMAN	G-protein coupled receptor 22	GPR22
Q92823	NRCAM_HUMAN	Neuronal cell adhesion molecule (Nr-CAM) (Neuronal surface protein Bravo) (hBravo) (NgCAM-related cell adhesion molecule) (Ng-CAM-related)	NRCAM KIAA0343
